,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mcvopt_choices,mcvopt_acc,mc_choices,mc_acc
0,-1,0.9609740867936309,-1,0.9609740867936309,-1,0.9609740867936309,-1,0.9609740867936309
1,5827,0.9609740867936309,5739,0.9640961598501405,5855,0.9612862940992819,5752,0.9619107087105838
2,5301,0.9609740867936309,5142,0.9644083671557915,5279,0.9622229160162348,5310,0.9634717452388386
3,6216,0.9622229160162348,6152,0.9650327817670934,6234,0.9622229160162348,6166,0.9650327817670934
4,6680,0.9609740867936309,6631,0.9640961598501405,6865,0.9640961598501405,6647,0.9650327817670934
5,6615,0.9615985014049329,6593,0.9647205744614424,6458,0.9640961598501405,6366,0.9656571963783952
6,1632,0.9622229160162348,1955,0.966906025600999,2215,0.9644083671557915,2039,0.9665938182953481
7,4833,0.9634717452388386,4996,0.9684670621292538,5084,0.9640961598501405,4994,0.96721823290665
8,5688,0.9634717452388386,5500,0.9678426475179519,5503,0.9647205744614424,5474,0.9690914767405557
9,1476,0.9628473306275367,1586,0.9678426475179519,1426,0.9665938182953481,1440,0.9690914767405557
10,2604,0.9634717452388386,2658,0.966906025600999,2776,0.96721823290665,2312,0.9697158913518577
11,5919,0.9634717452388386,5966,0.9684670621292538,5729,0.967530440212301,6001,0.9697158913518577
12,5215,0.9637839525444896,5158,0.9681548548236029,5278,0.967530440212301,5394,0.9706525132688105
13,6072,0.9637839525444896,6234,0.9678426475179519,6220,0.967530440212301,6234,0.9706525132688105
14,6706,0.9631595379331876,6797,0.9681548548236029,6623,0.9684670621292538,6811,0.9706525132688105
15,6382,0.9631595379331876,6490,0.9687792694349048,6352,0.9687792694349048,6591,0.9712769278801124
16,2013,0.9634717452388386,2132,0.9690914767405557,1706,0.9687792694349048,1961,0.9712769278801124
17,5046,0.9619107087105838,4842,0.9697158913518577,4973,0.9687792694349048,4889,0.9722135497970652
18,5697,0.9615985014049329,5640,0.9709647205744615,5481,0.9687792694349048,5610,0.9722135497970652
19,1547,0.9628473306275367,1445,0.9712769278801124,1435,0.9687792694349048,1497,0.9712769278801124
20,2732,0.9631595379331876,2554,0.9728379644083671,2296,0.9687792694349048,2725,0.9719013424914142
21,5724,0.9631595379331876,5760,0.97377458632532,5753,0.9694036840462067,5855,0.9722135497970652
22,5132,0.9640961598501405,5310,0.974086793630971,5192,0.9700280986575086,5185,0.9731501717140181
23,6120,0.9644083671557915,6031,0.9743990009366219,6218,0.9700280986575086,6051,0.9731501717140181
24,6770,0.9640961598501405,6695,0.9731501717140181,6831,0.9700280986575086,6797,0.97377458632532
25,6476,0.9656571963783952,6410,0.973462379019669,6526,0.9697158913518577,6348,0.973462379019669
26,1841,0.9656571963783952,2128,0.97377458632532,2199,0.9697158913518577,2123,0.9728379644083671
27,4886,0.9656571963783952,5113,0.973462379019669,5113,0.9694036840462067,4932,0.9728379644083671
28,5487,0.9647205744614424,5511,0.973462379019669,5664,0.9706525132688105,5662,0.9728379644083671
29,1435,0.9662816109896971,1435,0.973462379019669,1540,0.9706525132688105,1570,0.9728379644083671
30,2945,0.9659694036840462,2976,0.974086793630971,2669,0.9703403059631596,2303,0.9731501717140181
31,6015,0.9662816109896971,5931,0.974086793630971,5760,0.9703403059631596,5760,0.9722135497970652
32,5171,0.9662816109896971,5282,0.974086793630971,5331,0.9700280986575086,5393,0.9725257571027162
33,6208,0.9662816109896971,6192,0.974086793630971,6134,0.9706525132688105,6026,0.9728379644083671
34,6862,0.9665938182953481,6655,0.9743990009366219,6797,0.9706525132688105,6868,0.9728379644083671
35,6516,0.9665938182953481,6554,0.9743990009366219,6556,0.9703403059631596,6342,0.9728379644083671
36,2264,0.9662816109896971,2087,0.9753356228535748,2244,0.9703403059631596,2254,0.9728379644083671
37,5068,0.96721823290665,5108,0.9759600374648767,5046,0.9706525132688105,5047,0.9728379644083671
38,5509,0.96721823290665,5478,0.9759600374648767,5558,0.9706525132688105,5587,0.9722135497970652
39,1516,0.9659694036840462,1369,0.9756478301592257,1380,0.9709647205744615,1380,0.9722135497970652
40,2761,0.9665938182953481,2352,0.9756478301592257,2301,0.9709647205744615,2320,0.9728379644083671
41,5957,0.9678426475179519,5884,0.9756478301592257,5853,0.9709647205744615,6019,0.9725257571027162
42,5166,0.9678426475179519,5396,0.9756478301592257,5185,0.9709647205744615,5330,0.9728379644083671
43,6310,0.967530440212301,6052,0.9753356228535748,6139,0.9709647205744615,6147,0.9728379644083671
44,6666,0.967530440212301,6811,0.9753356228535748,6868,0.9706525132688105,6626,0.9728379644083671
45,6038,0.9678426475179519,6431,0.9753356228535748,6576,0.9709647205744615,6556,0.9728379644083671
46,2174,0.967530440212301,1912,0.9753356228535748,2259,0.9709647205744615,1739,0.97377458632532
47,5020,0.9678426475179519,4982,0.9753356228535748,4933,0.9706525132688105,4890,0.97377458632532
48,5600,0.9678426475179519,5435,0.9753356228535748,5535,0.9706525132688105,5493,0.97377458632532
49,1369,0.9681548548236029,1544,0.9753356228535748,1497,0.9712769278801124,1435,0.97377458632532
50,2825,0.9681548548236029,2579,0.9753356228535748,2461,0.9719013424914142,2666,0.97377458632532
51,5904,0.9681548548236029,5951,0.9753356228535748,5974,0.9719013424914142,5726,0.97377458632532
52,5144,0.9684670621292538,5296,0.9753356228535748,5215,0.9722135497970652,5159,0.97377458632532
53,6089,0.9681548548236029,6251,0.9753356228535748,6186,0.9722135497970652,6093,0.974086793630971
54,6814,0.9681548548236029,6856,0.9753356228535748,6786,0.9725257571027162,6689,0.974086793630971
55,6559,0.9684670621292538,6430,0.9753356228535748,6427,0.9731501717140181,6427,0.9743990009366219
56,2030,0.9684670621292538,1973,0.9753356228535748,1971,0.9728379644083671,1732,0.974086793630971
57,4951,0.9690914767405557,4913,0.9753356228535748,4907,0.9731501717140181,4982,0.973462379019669
58,5581,0.9690914767405557,5481,0.9753356228535748,5628,0.9731501717140181,5478,0.973462379019669
59,1398,0.9690914767405557,1572,0.9753356228535748,1421,0.9731501717140181,1511,0.97377458632532
60,2612,0.9690914767405557,2431,0.9753356228535748,2298,0.9731501717140181,2399,0.974086793630971
61,5768,0.9700280986575086,5855,0.9756478301592257,5921,0.9731501717140181,5823,0.974086793630971
62,5160,0.9700280986575086,5233,0.9756478301592257,5379,0.9731501717140181,5293,0.9743990009366219
63,6051,0.9700280986575086,6051,0.9753356228535748,6107,0.9731501717140181,6036,0.9743990009366219
64,6863,0.9697158913518577,6754,0.9753356228535748,6754,0.9731501717140181,6754,0.9743990009366219
65,6395,0.9697158913518577,6485,0.9753356228535748,6594,0.9731501717140181,6576,0.974086793630971
66,1699,0.9694036840462067,2199,0.9753356228535748,1739,0.9731501717140181,2010,0.9747112082422729
67,5012,0.9697158913518577,5060,0.9753356228535748,4982,0.9728379644083671,4848,0.9750234155479238
68,5612,0.9697158913518577,5538,0.9762722447705277,5536,0.9728379644083671,5637,0.9750234155479238
69,1540,0.9697158913518577,1380,0.9772088666874805,1544,0.973462379019669,1445,0.9750234155479238
70,2636,0.9700280986575086,2600,0.9772088666874805,2462,0.973462379019669,2299,0.9750234155479238
71,5792,0.9703403059631596,5869,0.9772088666874805,5757,0.9731501717140181,5884,0.9753356228535748
72,5328,0.9703403059631596,5379,0.9772088666874805,5298,0.9731501717140181,5225,0.9753356228535748
73,6111,0.9706525132688105,6173,0.9772088666874805,6062,0.9731501717140181,6094,0.9747112082422729
74,6754,0.9703403059631596,6647,0.9768966593818296,6822,0.9728379644083671,6655,0.9743990009366219
75,6578,0.9712769278801124,6427,0.9768966593818296,6517,0.9728379644083671,6593,0.9743990009366219
76,1980,0.9712769278801124,1697,0.9768966593818296,1872,0.9728379644083671,6196,0.9743990009366219
77,5027,0.9712769278801124,5110,0.9775210739931315,5003,0.9725257571027162,4975,0.9743990009366219
78,5491,0.9712769278801124,5457,0.9775210739931315,5544,0.9725257571027162,5628,0.9743990009366219
79,1545,0.9715891351857634,1438,0.9775210739931315,1563,0.9728379644083671,1586,0.9750234155479238
80,2470,0.9715891351857634,2299,0.9775210739931315,2393,0.9728379644083671,2684,0.9747112082422729
81,5918,0.9715891351857634,5955,0.9775210739931315,5808,0.9728379644083671,5974,0.9747112082422729
82,5314,0.9719013424914142,5159,0.9775210739931315,5177,0.9731501717140181,5192,0.9747112082422729
83,6155,0.9719013424914142,6129,0.9775210739931315,6199,0.9731501717140181,6317,0.9747112082422729
84,6761,0.9719013424914142,6701,0.9775210739931315,6706,0.9731501717140181,6786,0.9747112082422729
85,6326,0.9719013424914142,6342,0.9775210739931315,6365,0.9731501717140181,6524,0.9747112082422729
86,2124,0.9719013424914142,2276,0.9775210739931315,1825,0.9731501717140181,2110,0.9747112082422729
87,4861,0.9719013424914142,4929,0.9775210739931315,4994,0.9731501717140181,4960,0.9750234155479238
88,5712,0.9719013424914142,5610,0.9775210739931315,5498,0.9731501717140181,5481,0.9750234155479238
89,1502,0.9712769278801124,1459,0.9775210739931315,1367,0.9731501717140181,1544,0.9759600374648767
90,2815,0.9712769278801124,2689,0.9775210739931315,2518,0.9731501717140181,2563,0.9765844520761786
91,5966,0.9709647205744615,5974,0.9778332812987824,5884,0.973462379019669,5833,0.9765844520761786
92,5302,0.9709647205744615,5359,0.9778332812987824,5377,0.973462379019669,5379,0.9765844520761786
93,6029,0.9709647205744615,6218,0.9778332812987824,6026,0.973462379019669,6220,0.9765844520761786
94,6732,0.9712769278801124,6706,0.9778332812987824,6626,0.973462379019669,6856,0.9765844520761786
95,6573,0.9712769278801124,6470,0.9778332812987824,6518,0.973462379019669,6461,0.9765844520761786
96,2143,0.9712769278801124,2240,0.9778332812987824,2040,0.973462379019669,2270,0.9765844520761786
97,4889,0.9712769278801124,4848,0.9778332812987824,4853,0.973462379019669,5044,0.9765844520761786
98,5435,0.9712769278801124,5687,0.9775210739931315,5640,0.973462379019669,5468,0.9765844520761786
99,1561,0.9712769278801124,1411,0.9778332812987824,1570,0.973462379019669,1384,0.9765844520761786
100,2469,0.9712769278801124,2971,0.9778332812987824,2796,0.973462379019669,2759,0.9765844520761786
